idx,lp,name,token_adr,pool_adr,tvl,borrow,utilization
44,0x7DA257e84f233C9d05959F923c797585549bb3CB,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,0x2318e0fcA595665e96A1c9ABF93b1290457aAc2A,460082,112971,24.55
44,0x7DA257e84f233C9d05959F923c797585549bb3CB,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x9E6a686E68A7fDa0d4a486F66EeFE7e1a450c74a,248845,110901,44.57
45,0x9039b60EeE1aDBD2697A0fFb558f879c0b5D87bb,CRV,0x172370d5Cd63279eFa6d502DAB29171933a610AF,0x15802CdAEfd06e84364BD2B178A9aCd3FA2CB0ed,15793,11536,73.05
45,0x9039b60EeE1aDBD2697A0fFb558f879c0b5D87bb,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xF29F057dAD626BA5AA46F4838272E0a6d40347a4,14349,13143,91.60
46,0xC2Eb7FC0C27B20400e9923a1f4066D8D4a9cd203,AVAX,0x2C89bbc92BD86F8075d1DEcc58C7F4E0107f286b,0x30b35900b3DA530D166460144040Cc1b29516265,11145,8399,75.36
46,0xC2Eb7FC0C27B20400e9923a1f4066D8D4a9cd203,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x7428C61A1d7584777961df49E1113EB32324d39E,10120,7633,75.43
47,0xCB8F6c44C85f4a55f243df1D1f339a52a452aCa5,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xa04b338E555bd07005e447E9cd149084EB0eAfcE,571373,451917,79.09
47,0xCB8F6c44C85f4a55f243df1D1f339a52a452aCa5,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x2C44C932adE328BB57779887F0553738842c2c4c,598911,389268,65.00
48,0x5c796c3CeE0CA11e21F707bC3DFeA8EDda6b197d,TEST2,0x77f18fA1bb7FaC839575eF71e8E322ef0784331d,0xA20e1905BefD9F23BcA86140c75C3a0fA0178937,0,0,0.06
48,0x5c796c3CeE0CA11e21F707bC3DFeA8EDda6b197d,TEST1,0x9dA1F82C6D158Ec39d11F6bd74232B60B47f869c,0x0116D5d5f8D553f6Edde7289C6877ed82846636C,0,0,0.03
49,0xEDD7e9d1CCb27349E82cE3539f1706bB2C1AbC64,polyBUNNY,0x4C16f69302CcB511c5Fac682c7626B9eF0Dc126a,0xAE755aa0479781D017cB21790D16185B88170949,0,0,NaN
49,0xEDD7e9d1CCb27349E82cE3539f1706bB2C1AbC64,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xF69f7Fd622FD5F9D42a5320eb70DE65D28a5100c,0,0,NaN
50,0x42f3E0128fb443e09Be379e34b23ECa5b990bDaf,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x8e78d5464d22242fB0b11CEA326c28538b351c3d,0,0,NaN
50,0x42f3E0128fb443e09Be379e34b23ECa5b990bDaf,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x9B776a8199bA43CE397C075f74A6a002882521E8,0,0,NaN
51,0x12383B491f5627657b56Addf3EC765c3758e4C4d,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x5bC449cB60C44e93Fe5B7B33227dfB6be1D035f3,0,0,NaN
51,0x12383B491f5627657b56Addf3EC765c3758e4C4d,QUICK,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,0x44a5575d9124C6005d1BaBFCCB2404d0F9809086,0,0,NaN
52,0x4E9c8B39a31adF2109B279632C3f6C8276b597B2,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x807D2d13dC132658Bc29Dd769Abeae78D7DfE8E8,0,0,NaN
52,0x4E9c8B39a31adF2109B279632C3f6C8276b597B2,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x89CeA4AEeF3D1bc53ce69a1D621232B9665d95b6,0,0,NaN
53,0xc380e7FA325E1708e9E6eF4D9beD2CD806fcB328,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x33465FA2E5E8AA5AE04503cbfD88B6025EDa2629,31719,19031,60.00
