idx, oToken_name, oToken_address, token, tokenName, collateralFactor, borrowTarget
0,oMatic,0xE554E874c9c60E45F1Debd479389C76230ae25A8,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,WMATIC,5999,4700
1,oWBTC,0x3B9128Ddd834cE06A60B0eC31CCfB11582d8ee18,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WBTC,5999,4700
2,oDAI,0x2175110F2936bf630a278660E9B6E4EFa358490A,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,DAI,5999,4700
3,oWETH,0xb2D9646A1394bf784E376612136B3686e74A325F,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,7499,7400
4,oUSDC,0xEBb865Bf286e6eA8aBf5ac97e1b56A76530F3fBe,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,7999,7799
5,oUSDT,0x1372c34acC14F1E8644C72Dad82E3a21C211729f,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,5999,4700
