idx, vault_name, vault_address, underlying_name, underlying_address
1,ibFTM,0xc1018f4Bba361A1Cc60407835e156595e92EF7Ad,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83
3,ibUSDC,0x831332f94C4A0092040b28ECe9377AfEfF34B25a,USDC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75
