idx, lp_name, lp_address, token0, token0_name, token1, token1_name, alloc, weekRewardUsd, tvlUsd, apr, currentRewards, vault 
30,SPOOKY_STEAK_WFTM,0xD10CC1b46D806D6ac803AF367Da489dEA5EE76FA,0x05848B832E872d9eDd84AC5718D58f21fD9c9649,STEAK,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0,0,10,0,undefined,undefined
31,SPOOKY_USDC_fUSDT,0xFdef392aDc84607135C24ca45DE5452d77aa10DE,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,USDC,0x049d68029688eAbF473097a2fC38ef61633A3C7A,fUSDT,0,0,0,NaN,undefined,undefined
32,SPOOKY_WFTM_SHADE,0x20aa395F3bcc4dc44a94215D129650533B3da0b3,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x3A3841f5fa9f2c283EA567d5Aeea3Af022dD2262,SHADE,40,6129,494844,65,undefined,undefined
33,SPOOKY_USDC_WOO,0x7d4CdDAB6774Ff47D62253067958dbD749Cb7F06,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,USDC,0x6626c47c00F1D87902fc13EECfaC3ed06D5E8D8a,WOO,70,10725,4397052,13,undefined,undefined
34,SPOOKY_WFTM_TREEB,0xe8b72a866b8D59F5c13D2ADEF96E40A3EF5b3152,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0xc60D7067dfBc6f2caf30523a064f416A5Af52963,TREEB,80,12258,1609214,40,undefined,undefined
35,SPOOKY_BTC_ETH,0xEc454EdA10accdD66209C57aF8C12924556F3aBD,0x321162Cd933E2Be498Cd2267a90534A804051b11,BTC,0x74b23882a30290451A17c44f4F05243b6b58C76d,ETH,150,22983,31361856,4,undefined,undefined
36,SPOOKY_WFTM_FONT,0x1C8D76074619BCA749b521343Ce16bb96d9F3614,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0xbbc4A8d076F4B1888fec42581B6fc58d242CF2D5,FONT,10,1532,136483,59,undefined,undefined
37,SPOOKY_LQDR_WFTM,0x506DdcC751C7d500F983FfdA6DdEfbE458Ba2c33,0x10b620b2dbAC4Faa7D7FFD71Da486f5D44cd86f9,LQDR,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,20,3064,320693,50,undefined,undefined
38,SPOOKY_WFTM_SPELL,0x78f82c16992932EfDd18d93f889141CcF326DBc2,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x468003B688943977e6130F4F68F23aad939a1040,SPELL,100,15322,7163592,11,undefined,undefined
39,SPOOKY_WFTM_CFi,0xFB7826C31DAe2465feC6E5bF30d5A4A17A887bC4,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x6a545f9c64d8f7B957D8D2e6410B52095A9E6c29,CFi,20,3064,322852,49,undefined,undefined
40,SPOOKY_DOLA_INV,0x26519b547416E4f53f3A4b05b95Ef859C3BD89Fe,0x3129662808bEC728a27Ab6a6b9AFd3cBacA8A43c,DOLA,0xb84527D59b6Ecb96F433029ECc890D4492C5dCe1,INV,50,7661,759861,53,undefined,undefined
41,SPOOKY_WFTM_DOLA,0x49EC56Cc2adAf19C1688d3131304Dbc3Df5e1cCd,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x3129662808bEC728a27Ab6a6b9AFd3cBacA8A43c,DOLA,50,7661,1714796,23,undefined,undefined
42,SPOOKY_USDC_miMATIC,0x4dE9f0ED95de2461B6dB1660f908348c42893b1A,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,USDC,0xfB98B335551a418cD0737375a2ea0ded62Ea213b,miMATIC,70,10725,2740123,20,undefined,undefined
