idx, lp_name, lp_address, token0, token0_name, token1, token1_name, pool, rewardAmount, vault, weekRewardUsd, tvlUsd, apr, currentRewards, r0, r1
1,QUICK_WMATIC_WETH,0xadbF1854e5883eB8aa7BAf50705338739e558E5b,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x3c1f53fed2238176419F8f897aEc8791C499e3c8,14211.20,0xf5c32b020c334f523beaec5caf9421b8bde8227e,14211.20,72262811.40,1.03,27491.66859925778,0xf28164A485B0B2C90639E47b0f377b4a438a16B1,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270
2,QUICK_WMATIC_USDC,0x6e7a5FAFcec6BB1e78bAE2A1F0B612012BF14827,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x14977e7E263FF79c4c3159F497D9551fbE769625,14085.26,0x8846715645a06a5c46309dc29623793d97795242,14085.26,53627740.23,1.37,15874.84826942546,0xf28164A485B0B2C90639E47b0f377b4a438a16B1,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270
4,QUICK_WMATIC_QUICK,0x019ba0325f1988213D448b3472fA1cf8D07618d7,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xd26E16f5a9dfb9Fe32dB7F6386402B8AAe1a5dd7,5678.18,0x02b7a35c72b150c3d9175f0c6b0e9e49f0b5988a,5678.18,9830364.21,3.01,13674.176436803567,0xf28164A485B0B2C90639E47b0f377b4a438a16B1,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270
8,QUICK_WMATIC_PSP,0x7AfC060acCA7ec6985d982dD85cC62B111CAc7a7,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x42d61D766B85431666B39B89C43011f24451bFf6,PSP,0x64D2B3994F64E3E82E48CC92e1122489e88e8727,155600.27,undefined,155600.27,1065638.18,761.37,undefined,0xf28164A485B0B2C90639E47b0f377b4a438a16B1,0x42d61D766B85431666B39B89C43011f24451bFf6
