idx,lp,name,token_adr,pool_adr,tvl,borrow,utilization
19,0xe86595d392dCF6eC8e667A21efD41c114D31B322,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xABAB54C8085909E02d2e81F9d2807000Be94d36C,14274,12111,84.84
19,0xe86595d392dCF6eC8e667A21efD41c114D31B322,renBTC,0xDBf31dF14B66535aF65AaC99C32e9eA844e14501,0x76f22c6b711158C26E0EF5f5e55054FDA9a56786,54357,14236,26.19
20,0x6Cf576EFdc204435469C8Dc42fadF762E5b92002,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x94070F9D65B002bA1A7Ea816235d15362894a473,262396,183706,70.01
20,0x6Cf576EFdc204435469C8Dc42fadF762E5b92002,SOLID,0x888EF71766ca594DED1F0FA3AE64eD2941740A20,0x6c4BcE60fdC875846316b7060a105884B8EA07bf,112138,46223,41.22
21,0x228BE1a38437312C649711f1BFf28d99e9E749B6,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x10a5CA991c57aF207BcD89F882fCAFA61D7BdE71,15238,11434,75.04
21,0x228BE1a38437312C649711f1BFf28d99e9E749B6,SOLIDsex,0x41adAc6C1Ff52C5e27568f27998d747F7b69795B,0xB03C1B5Ffe97764B1C25Bb33199afb7eA7262B95,10818,7674,70.94
22,0xAf2FFcDE11321312FdD6D024d58854De72EAD3F5,CRV,0x1E4F97b9f9F913c46F1632781732927B9019C68b,0xAefB1B7A427627efcBb592e6fCeF64EaaeB7BC8A,0,0,NaN
22,0xAf2FFcDE11321312FdD6D024d58854De72EAD3F5,g3CRV,0xD02a30d33153877BC20e5721ee53DeDEE0422B2F,0x275854F9BAecC49211d89ba4D1D0De554C92A335,0,0,NaN
23,0x6EFB5ED1485A4e029e964282bdC31Cc24Adb7740,SOLIDsex,0x41adAc6C1Ff52C5e27568f27998d747F7b69795B,0x6a62dd202F2b8fC091eB21Be2f84fdd9305e8D6b,0,0,NaN
23,0x6EFB5ED1485A4e029e964282bdC31Cc24Adb7740,g3CRV,0xD02a30d33153877BC20e5721ee53DeDEE0422B2F,0x0B7B02278a3A81bAECF6f5838001Da900eA678A9,0,0,NaN
24,0xf886230371E4C14B5F68A7172520C555B7841ca6,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xdb77DFc744a0B75b4539FA4ca436D7472473ec0e,55430,29611,53.42
24,0xf886230371E4C14B5F68A7172520C555B7841ca6,YFI,0x29b0Da86e484E1C0029B56e817912d778aC0EC69,0x09A323285e207326808ae0ce49e02e2871cbF774,73796,32670,44.27
25,0x6Be064F12443260E72332A485a57588a6849a02D,YFI,0x29b0Da86e484E1C0029B56e817912d778aC0EC69,0x40B88e98589DE2b0a7d28B646Ba54781C788fb70,10277,6088,59.24
25,0x6Be064F12443260E72332A485a57588a6849a02D,WOOFY,0xD0660cD418a64a1d44E9214ad8e459324D8157f1,0x8c3d22E1C803f9fdE0C262E0FaA9510Ad04C61Db,615,362,58.88
26,0xd73BE67104D11a5d9b43E9E6EDeaD48dD39944E1,FXS,0x7d016eec9c25232b01F23EF992D98ca97fc2AF5a,0x74074A5Bc9e2e926a0082938D56783875B200726,1470,47,3.17
26,0xd73BE67104D11a5d9b43E9E6EDeaD48dD39944E1,FRAX,0xdc301622e621166BD8E82f2cA0A26c13Ad0BE355,0x77f230b2A7cbC992281fFb8323474AA873Eb1591,2482,54,2.16
27,0x877a330AF63094d88792b9Ca28AC36C71673EB1C,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x5028Cc607E470C7c691FD5fd38830E9b1852124E,48399,28342,58.56
