idx, rToken_name, rToken_address, token, tokenName, collateralFactor, borrowTarget
0,rWETH,0x186C4137136970739b472A8192D3D2AFc5543B61,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,6499,6450
1,rUSDC,0xbEbAD52f3A50806b25911051BabDe6615C8e21ef,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,7499,7450
2,rMATIC,0xCa0F37f73174a28a64552D426590d3eD601ecCa1,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,WMATIC,4999,4700
3,rWBTC,0xEe1eb5fEBeF78A1eb1a23E79930D9c587F954E05,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WBTC,6499,6000
4,rUSDT,0xad6AD29d6b8B74b4302dD829c945ca3274035c16,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,7499,7400
5,rICE,0xf535B089453dfd8AE698aF6d7d5Bc9f804781b81,0x4A81f8796e0c6Ad4877A51C86693B0dE8093F2ef,ICE,0,0
