idx, lp_name, lp_address, token0, token0_name, token1, token1_name, alloc, sushiWeekRewardUsd, maticWeekRewardUsd, weekRewardUsd, tvlUsd, apr
0,SUSHI_WMATIC_WETH,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,190,105986,179770,285756,45329870,33
1,SUSHI_USDC_WETH,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,152,84789,143816,228605,65966694,18
2,SUSHI_WETH_USDT,0xc2755915a85C6f6c1C0F3a86ac8C058F11Caa9C9,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,135,75306,127731,203037,49562670,21
3,SUSHI_WBTC_WETH,0xE62Ec2e799305E0D367b0Cc3ee2CdA135bF89816,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WBTC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,124,69170,117323,186493,104201329,9
4,SUSHI_Krill_USDC,0x497C2cbAd454952B20Ab66A1A17daC0999BA228E,0x05089C9EBFFa4F0AcA269e32056b1b36B37ED71b,Krill,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0,0,0,0,0,NaN
5,SUSHI_WETH_DAI,0x6FF62bfb8c12109E8000935A6De54daD83a4f39f,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,DAI,112,62476,105970,168446,25503141,34
6,SUSHI_WETH_AAVE,0x2813D43463C374a680f235c428FB1D7f08dE0B69,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,AAVE,80,44626,75693,120318,33346823,19
7,SUSHI_LINK_WETH,0x74D23F21F780CA26B47Db16B0504F2e3832b9321,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,LINK,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,50,27891,47308,75199,20562926,19
8,SUSHI_USDC_USDT,0x4B1F1e2435A9C96f7330FAea190Ef6A7C8D70001,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,45,25102,42577,67679,38301200,9
9,SUSHI_CRV_WETH,0x396E655C309676cAF0acf4607a868e0CDed876dB,0x172370d5Cd63279eFa6d502DAB29171933a610AF,CRV,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,10,5578,9462,15040,3022643,26
10,SUSHI_SNX_WETH,0x116Ff0d1Caa91a6b94276b3471f33dbeB52073E7,0x50B728D8D964fd00C2d0AAD81718b71311feF68a,SNX,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,5,2789,4731,7520,1221895,32
11,SUSHI_USDC_DAI,0xCD578F016888B57F1b1e3f887f392F0159E26747,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,DAI,26,14503,24600,39103,27141884,8
12,SUSHI_renDOGE_WETH,0x3398787dCa0F1bD830713eC5294aDE196a198984,0x7C4A54f5d20b4023D6746F1f765f4DFe7C39a7e6,renDOGE,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0,0,0,0,78330,0
13,SUSHI_WMATIC_WOOFY,0x211F8e61113eDAf00cf37A804B0bA721875Ef560,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0xD0660cD418a64a1d44E9214ad8e459324D8157f1,WOOFY,3,1673,2838,4512,784858,30
14,SUSHI_FRAX_USDC,0x9e20a8d3501BF96EDA8e69b96DD84840058a1cB0,0x104592a158490a9228070E0A8e5343B499e125D0,FRAX,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,18,10041,17031,27072,9355934,15
15,SUSHI_FRAX_FXS,0xd53a56AE0f48c9a03660cd36c2E4ae20493a1Eca,0x104592a158490a9228070E0A8e5343B499e125D0,FRAX,0x3e121107F6F22DA4911079845a470757aF4e1A1b,FXS,4,2231,3785,6016,1361265,23
16,SUSHI_GRT_WETH,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0x5fe2B58c013d7601147DcdD68C143A77499f5531,GRT,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,1,558,946,1504,500577,16
17,SUSHI_WETH_ADDY,0xB6d9a4649c579B8768f1cb55e9dd6Ba99581e4a9,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xc3FdbadC7c795EF1D6Ba111e06fF8F16A20Ea539,ADDY,4,2231,3785,6016,219558,143
18,SUSHI_WETH_WFIL,0x21Ef14B5580a852477ef31E7Ea9373485bF50377,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xEde1B77C0Ccc45BFa949636757cd2cA7eF30137F,WFIL,4,2231,3785,6016,878180,36
19,SUSHI_WETH_DHT,0xa375d23a751124359568f3a22576528bD1C8C3e3,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x8C92e38eCA8210f4fcBf17F0951b198Dd7668292,DHT,4,2231,3785,6016,1323858,24
20,SUSHI_WETH_IRON,0x01cDCC99a4f9A68be18504750B219Caa881841Eb,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xD86b5923F3AD7b585eD81B448170ae026c65ae9a,IRON,0,0,0,0,760,0
21,SUSHI_USDC_PAUTO,0xd8d51Ea2eDcA2c2ea15A053A5730f559d79a1570,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x7f426F6Dc648e50464a0392E60E1BB465a67E9cf,PAUTO,5,2789,4731,7520,638548,61
