idx, lp_name, lp_address, token0, token0_name, token1, token1_name, pool, rewardAmount, duration 
40,QUICK_WETH_CC10,0xBF646010B1ae86aD7fBb4cFf5fd93C7019331Cc9,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x9c49BA0212Bb5Db371e66b59D1565b7c06E4894e,CC10,0x7cc64850E4c65e753247A1Ed2c8DF63DCF7d002d,21.419806166584023357,6.076273148148149
41,QUICK_WMATIC_miFARM,0x2a574629CA405fA43A8F21FAa64ff73dD320f45b,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0xab0b2ddB9C7e440fAc8E140A89c0dbCBf2d7Bbff,miFARM,0xD26C29d8B22105d0f4dBBf5c421B228B74722C86,0.589130123293955572,-42.93378472222222
42,QUICK_UBT_QUICK,0x08A945B6De91A7D0e242e55484a99A4A5f3810A8,0x7FBc10850caE055B27039aF31bD258430e714c62,UBT,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x24830905906b53F737cDc8a227C9475C52795C5C,7.508485162024928234,6.0759837962962955
43,QUICK_QUICK_NFTP,0x2af64089156EFA9cE3677C3392ef8fbD9A06a8Ad,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xf7d9e281c5Cb4C6796284C5b663b3593D2037aF2,NFTP,0xB771f27de915529DcbBCeFd3b73f2537B94Ab3Fa,0.537909567882026234,-21.967476851851853
44,QUICK_QUICK_SUPER,0x4FA5E499EEa684C2fEe4b67E96271eE916c26155,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xa1428174F516F527fafdD146b883bB4428682737,SUPER,0xe818cbeE29477e6C6915Df1e9757dd663f10106d,7.224896789446886967,6.075706018518518
45,QUICK_QUICK_EASY,0xc649936B9688B24eE332B5d76574b3E993f51c68,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xDb3b3b147A030F032633f6C4BEBf9a2fB5a882B5,EASY,0x12bebB96E738159CB68c2be8ED775950e2CfFb50,0.379956963421270076,-63.88243055555555
46,QUICK_QUICK_SX,0x049AB22922e2FA63CB259f9D0D30294748cB3E1b,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x840195888Db4D6A99ED9F73FcD3B225Bb3cB1A79,SX,0x78A8Ef79CB397FeDD933922b3A3Ced03dAcE52d4,0.109768371715347143,-35.93729166666667
47,QUICK_VISION_WETH,0x47Be4b1b6921a36591142E108B8C9E04BB55E015,0x034b2090b579228482520c589dbD397c53Fc51cC,VISION,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x34D4257C4935673Fb5059f29602B9AAe9Dea0296,9.236634720552148473,6.075289351851851
48,QUICK_QUICK_xMARK,0x7579fb88f46adC9Ad97D51C3b22e8DCDB6f68a57,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xf153EfF70DC0bf3b085134928daeEA248d9B30d0,xMARK,0xFd20CfF4eBD6EaD961E86A1264eEa4B64F847150,2.218260909222430712,-14.974456018518518
49,QUICK_SX_DAI,0x8ed2DaC7145865def7838623F715C835Dea154cf,0x840195888Db4D6A99ED9F73FcD3B225Bb3cB1A79,SX,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,DAI,0xefF782c32385B5eBd196fFD860629a5c69216c25,5.149966081800101606,6.075011574074074
50,QUICK_GFARM2_WETH,0xdb869Dab270331C6fE2E690f3b6c93A077ed53d5,0x7075cAB6bCCA06613e2d071bd918D1a0241379E2,GFARM2,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x145bB9b8ebD72Ce915D1DDF6bcf3082027A38C9a,0.008175842788588846,-49.90288194444444
